accuracy,loss,val_accuracy,val_loss
0.14000000059604645,2.395874261856079,0.2150000035762787,2.2495594024658203
0.29777777194976807,2.064387798309326,0.3050000071525574,1.9760600328445435
0.5533333420753479,1.5345350503921509,0.47999998927116394,1.5910429954528809
0.695555567741394,1.0974591970443726,0.5649999976158142,1.320379614830017
0.79666668176651,0.806671679019928,0.6050000190734863,1.249282717704773
0.8866666555404663,0.5636861324310303,0.6299999952316284,1.112570881843567
0.9244444370269775,0.41967132687568665,0.6200000047683716,1.108231782913208
0.9344444274902344,0.36283767223358154,0.6449999809265137,1.0545809268951416
0.9788888692855835,0.20354969799518585,0.6299999952316284,0.9937784671783447
0.9944444298744202,0.14732009172439575,0.7200000286102295,1.0020791292190552
0.996666669845581,0.09627964347600937,0.7149999737739563,0.9658756256103516
0.9988889098167419,0.0673302635550499,0.6949999928474426,0.9826757311820984
1.0,0.04971123859286308,0.6700000166893005,1.0197556018829346
1.0,0.03854852542281151,0.675000011920929,1.0160123109817505
1.0,0.031370557844638824,0.7049999833106995,0.9861747622489929
1.0,0.02798018977046013,0.6650000214576721,1.0546432733535767
1.0,0.022852851077914238,0.6949999928474426,1.0516020059585571
1.0,0.01985536515712738,0.6949999928474426,1.0141032934188843
1.0,0.017313184216618538,0.6850000023841858,1.0500222444534302
1.0,0.015275778248906136,0.675000011920929,1.0644742250442505
1.0,0.013372360728681087,0.6949999928474426,1.0805352926254272
1.0,0.012247000820934772,0.6899999976158142,1.0715606212615967
1.0,0.010935934260487556,0.6850000023841858,1.0819554328918457
1.0,0.010307000018656254,0.6800000071525574,1.0935330390930176
1.0,0.00923145841807127,0.6899999976158142,1.1068077087402344
