accuracy,loss,val_accuracy,val_loss
0.12111110985279083,2.552306890487671,0.17499999701976776,2.2049427032470703
0.4566666781902313,1.7114999294281006,0.4699999988079071,1.6606215238571167
0.7277777791023254,1.0250115394592285,0.5799999833106995,1.3914158344268799
0.8566666841506958,0.6257500648498535,0.6000000238418579,1.1860814094543457
0.9399999976158142,0.3873507082462311,0.6299999952316284,1.0655841827392578
0.9744444489479065,0.2594272792339325,0.6349999904632568,1.064862608909607
0.9877777695655823,0.16996613144874573,0.6399999856948853,1.0406346321105957
0.9988889098167419,0.1101410910487175,0.6949999928474426,1.0388398170471191
1.0,0.06647398322820663,0.6549999713897705,1.0337283611297607
1.0,0.05009177699685097,0.6800000071525574,1.0176445245742798
1.0,0.039146341383457184,0.675000011920929,1.0318537950515747
1.0,0.031444016844034195,0.675000011920929,1.0215753316879272
1.0,0.02612805925309658,0.6700000166893005,1.0104103088378906
1.0,0.021468648687005043,0.6700000166893005,1.0251258611679077
1.0,0.01899951696395874,0.675000011920929,1.0187256336212158
1.0,0.01628914475440979,0.6650000214576721,1.0164649486541748
1.0,0.014251264743506908,0.6650000214576721,1.0146763324737549
1.0,0.012856576591730118,0.6899999976158142,1.0318117141723633
1.0,0.011529883369803429,0.6800000071525574,1.032691478729248
1.0,0.010299913585186005,0.6800000071525574,1.0265485048294067
1.0,0.009350408799946308,0.6949999928474426,1.0646302700042725
1.0,0.008490382693707943,0.6700000166893005,1.070372223854065
1.0,0.007772406097501516,0.6700000166893005,1.0540615320205688
1.0,0.0071234675124287605,0.6650000214576721,1.032089352607727
1.0,0.006518492475152016,0.6850000023841858,1.0473262071609497
1.0,0.0059885066002607346,0.6650000214576721,1.0564568042755127
1.0,0.00558450585231185,0.6850000023841858,1.0528600215911865
1.0,0.005162525922060013,0.6850000023841858,1.0729366540908813
1.0,0.004876395687460899,0.6700000166893005,1.0828293561935425
1.0,0.0045333607122302055,0.6650000214576721,1.0716993808746338
