accuracy,loss,val_accuracy,val_loss
0.2628205120563507,2.2738873958587646,0.20499999821186066,2.0338802337646484
0.7158119678497314,1.1056022644042969,0.5149999856948853,1.4509261846542358
0.8803418874740601,0.5822789072990417,0.6549999713897705,1.148452877998352
0.9602563977241516,0.32237857580184937,0.6499999761581421,1.09952712059021
0.978205144405365,0.19468113780021667,0.6600000262260437,1.0236512422561646
0.9931623935699463,0.11787807196378708,0.6150000095367432,1.0449604988098145
0.9961538314819336,0.08266749233007431,0.699999988079071,1.0201478004455566
0.9987179636955261,0.059197887778282166,0.6600000262260437,1.00295889377594
0.9995726346969604,0.03749247267842293,0.625,1.0219355821609497
0.9970085620880127,0.04048427194356918,0.6549999713897705,1.0096909999847412
0.9987179636955261,0.027889395132660866,0.6399999856948853,1.0056650638580322
1.0,0.020745771005749702,0.6600000262260437,0.9789260029792786
1.0,0.014654005877673626,0.7200000286102295,1.014101266860962
1.0,0.012234305962920189,0.699999988079071,1.0024834871292114
1.0,0.009434277191758156,0.6850000023841858,1.049609661102295
1.0,0.009165652096271515,0.6899999976158142,1.024516224861145
1.0,0.006892473436892033,0.699999988079071,0.9883975982666016
1.0,0.006174628157168627,0.6549999713897705,1.003665566444397
1.0,0.0049680499359965324,0.6549999713897705,1.1119149923324585
1.0,0.004443592391908169,0.6800000071525574,1.0288090705871582
1.0,0.003906291909515858,0.6600000262260437,1.0665494203567505
1.0,0.0034662943799048662,0.6850000023841858,1.0655640363693237
1.0,0.0030529166106134653,0.6600000262260437,1.0253983736038208
1.0,0.002596286591142416,0.6949999928474426,1.0670897960662842
1.0,0.0025325545575469732,0.6800000071525574,1.0271848440170288
1.0,0.0023151354398578405,0.6800000071525574,1.070688009262085
1.0,0.0018857847899198532,0.675000011920929,1.0469138622283936
1.0,0.0017689387314021587,0.6499999761581421,1.0626983642578125
1.0,0.0015557967126369476,0.6449999809265137,1.0854697227478027
1.0,0.0014273732667788863,0.6800000071525574,1.0686438083648682
1.0,0.001290432526730001,0.6600000262260437,1.0984710454940796
0.9384615421295166,0.4436274468898773,0.6050000190734863,1.262444257736206
1.0,0.011585388332605362,0.6200000047683716,1.2961949110031128
1.0,0.006141367368400097,0.6650000214576721,1.2393134832382202
1.0,0.0044170874170959,0.6499999761581421,1.2162073850631714
1.0,0.0035714483819901943,0.6399999856948853,1.2267509698867798
1.0,0.0029896905180066824,0.6549999713897705,1.2207374572753906
1.0,0.0025738957338035107,0.6449999809265137,1.236755609512329
1.0,0.0022849903907626867,0.6399999856948853,1.2300950288772583
1.0,0.0020265209022909403,0.6449999809265137,1.2347848415374756
1.0,0.0018149532843381166,0.6200000047683716,1.2477799654006958
1.0,0.0016459700418636203,0.6399999856948853,1.2387800216674805
1.0,0.0014878184301778674,0.6349999904632568,1.2366389036178589
1.0,0.001365465228445828,0.6549999713897705,1.2324800491333008
1.0,0.0012459404533728957,0.6449999809265137,1.2355002164840698
1.0,0.0011464442359283566,0.6449999809265137,1.2328460216522217
1.0,0.0010559262009337544,0.6349999904632568,1.2493884563446045
1.0,0.0009788041934370995,0.6399999856948853,1.2360905408859253
1.0,0.0008996670949272811,0.6499999761581421,1.2633240222930908
1.0,0.0008425857522524893,0.6399999856948853,1.2541126012802124
