accuracy,loss,val_accuracy,val_loss
0.23247863352298737,2.2521395683288574,0.49000000953674316,1.684912919998169
0.8029914498329163,0.7053223848342896,0.5799999833106995,1.0859668254852295
0.9730769395828247,0.19031603634357452,0.7149999737739563,0.868460476398468
0.9991452693939209,0.05591513589024544,0.699999988079071,0.8491045236587524
1.0,0.027706433087587357,0.7350000143051147,0.8261849880218506
1.0,0.015743209049105644,0.6949999928474426,0.8212127685546875
1.0,0.009722196497023106,0.7599999904632568,0.7656310796737671
1.0,0.007133260369300842,0.7549999952316284,0.7438014149665833
1.0,0.005273128394037485,0.7599999904632568,0.7649277448654175
1.0,0.003992259036749601,0.7549999952316284,0.772849440574646
1.0,0.003147103590890765,0.75,0.7638942003250122
1.0,0.002498496789485216,0.7400000095367432,0.7750772833824158
1.0,0.0020634520333260298,0.7549999952316284,0.7899289727210999
1.0,0.001714549958705902,0.7699999809265137,0.8073722124099731
1.0,0.0014545685844495893,0.7549999952316284,0.8178369998931885
