accuracy,loss,val_accuracy,val_loss
0.11811593919992447,2.476372480392456,0.14000000059604645,2.2066683769226074
0.5094202756881714,1.5365256071090698,0.5450000166893005,1.3229918479919434
0.8572463989257812,0.5857645869255066,0.675000011920929,0.9957021474838257
0.9543478488922119,0.24949553608894348,0.6949999928474426,0.8973255753517151
0.9905797243118286,0.11973359435796738,0.7649999856948853,0.795600950717926
0.997826099395752,0.06243066489696503,0.7099999785423279,0.7664989233016968
1.0,0.0309450700879097,0.7350000143051147,0.7303119897842407
1.0,0.020944565534591675,0.7450000047683716,0.7201783657073975
1.0,0.01412495318800211,0.75,0.7217494249343872
1.0,0.011070724576711655,0.7149999737739563,0.7257707715034485
1.0,0.00860886462032795,0.7250000238418579,0.7672902941703796
1.0,0.007144493516534567,0.7250000238418579,0.7599906325340271
1.0,0.005858566612005234,0.7450000047683716,0.7716928124427795
1.0,0.005014574620872736,0.7300000190734863,0.7284034490585327
1.0,0.0041301739402115345,0.7400000095367432,0.7209657430648804
