accuracy,loss,val_accuracy,val_loss
0.14032258093357086,2.3902745246887207,0.26499998569488525,2.112215757369995
0.6322580575942993,1.2080727815628052,0.5950000286102295,1.1375494003295898
0.9360215067863464,0.3401164412498474,0.6800000071525574,0.969897985458374
0.9919354915618896,0.11633414775133133,0.6949999928474426,0.9036514759063721
1.0,0.05218074098229408,0.6899999976158142,0.8887223601341248
1.0,0.026559030637145042,0.6800000071525574,0.9227649569511414
1.0,0.015043402090668678,0.7049999833106995,0.9217250347137451
1.0,0.01063322089612484,0.6899999976158142,0.8953916430473328
1.0,0.0074152471497654915,0.7099999785423279,0.8825525641441345
1.0,0.005598097573965788,0.7149999737739563,0.8831843733787537
1.0,0.004385669715702534,0.7400000095367432,0.8815843462944031
1.0,0.003525001462548971,0.699999988079071,0.9279875755310059
1.0,0.002923402236774564,0.7300000190734863,0.9364566802978516
1.0,0.0024600110482424498,0.7049999833106995,0.9259409308433533
1.0,0.002115848008543253,0.7049999833106995,0.9363642930984497
