Actual,bat,cup,drop,eat,fish,hot,jump,milk,pen,red
bat,5,0,0,0,1,0,0,0,2,1
cup,0,6,0,0,1,0,2,0,0,0
drop,0,0,8,0,0,1,0,0,0,0
eat,0,0,0,8,0,0,0,0,0,1
fish,0,0,0,0,9,0,0,0,0,0
hot,0,0,1,0,0,8,0,0,0,0
jump,0,2,0,0,0,0,7,0,0,0
milk,0,0,0,0,0,0,0,6,3,0
pen,2,0,0,0,0,0,0,0,6,1
red,0,0,0,4,0,0,0,0,0,5
