config,seed,params,final_train_acc,final_val_acc,best_val_acc,best_val_loss,best_epoch,seconds
e0_5blocks,11,8025546,0.9944444298744202,0.7200000286102295,0.7200000286102295,0.8683043122291565,10,44.1
e0_5blocks,22,8025546,0.9877777695655823,0.7350000143051147,0.7350000143051147,0.7784366607666016,15,42.3
e0_5blocks,33,8025546,0.9911110997200012,0.7900000214576721,0.7900000214576721,0.7120276093482971,13,42.2
e0_5blocks,44,8025546,0.9888888597488403,0.7200000286102295,0.7200000286102295,0.9531382918357849,12,42.5
e0_5blocks,55,8025546,0.9944444298744202,0.6850000023841858,0.699999988079071,0.8672629594802856,12,42.4
e1_5blocks_1x1conv32,11,2020842,0.09222222119569778,0.10000000149011612,0.11999999731779099,2.3025870323181152,2,42.9
e1_5blocks_1x1conv32,22,2020842,0.10000000149011612,0.10000000149011612,0.10999999940395355,2.3023934364318848,1,42.5
e1_5blocks_1x1conv32,33,2020842,0.10000000149011612,0.10000000149011612,0.10000000149011612,2.3025052547454834,1,42.4
e1_5blocks_1x1conv32,44,2020842,0.09777777642011642,0.10000000149011612,0.10000000149011612,2.3025875091552734,8,42.4
e1_5blocks_1x1conv32,55,2020842,0.8100000023841858,0.6000000238418579,0.6000000238418579,1.1967649459838867,14,42.8
e2_5blocks_extrapool,11,2782666,0.9866666793823242,0.7350000143051147,0.7350000143051147,0.7929074764251709,14,43.2
e2_5blocks_extrapool,22,2782666,0.9933333396911621,0.7049999833106995,0.7300000190734863,0.7525485754013062,15,42.4
e2_5blocks_extrapool,33,2782666,0.9788888692855835,0.7850000262260437,0.7850000262260437,0.7471248507499695,13,42.1
e2_5blocks_extrapool,44,2782666,0.9944444298744202,0.6899999976158142,0.7250000238418579,0.893585741519928,12,42.4
e2_5blocks_extrapool,55,2782666,0.9877777695655823,0.7300000190734863,0.7400000095367432,0.7938766479492188,14,42.1
e3_6blocks,11,5142474,0.9777777791023254,0.6949999928474426,0.7149999737739563,0.8517861366271973,13,52.1
e3_6blocks,22,5142474,0.9733333587646484,0.7549999952316284,0.7549999952316284,0.8499505519866943,12,49.9
e3_6blocks,33,5142474,0.9566666483879089,0.699999988079071,0.7149999737739563,0.823108971118927,14,49.9
e3_6blocks,44,5142474,0.9855555295944214,0.7400000095367432,0.75,0.7811462879180908,14,50.5
e3_6blocks,55,5142474,0.9688888788223267,0.7049999833106995,0.7049999833106995,0.9500021934509277,15,50.8
e4_4blocks,11,13267914,1.0,0.675000011920929,0.6850000023841858,0.9741973876953125,8,40.0
e4_4blocks,22,13267914,1.0,0.6499999761581421,0.699999988079071,1.0969820022583008,11,39.1
e4_4blocks,33,13267914,0.9988889098167419,0.675000011920929,0.6800000071525574,0.9462854266166687,11,39.0
e4_4blocks,44,13267914,1.0,0.675000011920929,0.675000011920929,1.100701928138733,9,38.9
e4_4blocks,55,13267914,1.0,0.675000011920929,0.699999988079071,0.9967593550682068,11,38.9
