config,seed,params,final_train_acc,final_val_acc,best_val_acc,best_val_loss,best_epoch,seconds
c0_2blocks_flatten,11,51434058,1.0,0.675000011920929,0.7250000238418579,0.9396952986717224,11,46.3
c0_2blocks_flatten,22,51434058,1.0,0.7049999833106995,0.7250000238418579,0.9261749982833862,11,37.2
c0_2blocks_flatten,33,51434058,1.0,0.6650000214576721,0.699999988079071,0.8957827687263489,12,36.8
c1_5blocks_flatten,11,8025546,0.9911110997200012,0.6850000023841858,0.6899999976158142,0.8645561337471008,13,46.8
c1_5blocks_flatten,22,8025546,0.992222249507904,0.7400000095367432,0.75,0.7509616613388062,15,42.3
c1_5blocks_flatten,33,8025546,0.9900000095367432,0.7799999713897705,0.8050000071525574,0.7119367718696594,14,42.1
c2_2blocks_gap,11,70218,0.09333333373069763,0.08500000089406967,0.13500000536441803,2.3020923137664795,13,35.5
c2_2blocks_gap,22,70218,0.09555555880069733,0.10000000149011612,0.11500000208616257,2.3025877475738525,14,32.0
c2_2blocks_gap,33,70218,0.10000000149011612,0.10499999672174454,0.10999999940395355,2.3023226261138916,13,32.8
c3_5blocks_gap,11,1734090,0.4811111092567444,0.41499999165534973,0.41499999165534973,1.5588667392730713,15,46.2
c3_5blocks_gap,22,1734090,0.48222222924232483,0.4099999964237213,0.4099999964237213,1.5116466283798218,15,41.5
c3_5blocks_gap,33,1734090,0.4977777898311615,0.3449999988079071,0.38499999046325684,1.6127235889434814,14,41.5
