config,seed,epochs_run,final_train_acc,final_val_acc,best_val_acc,best_val_loss,best_epoch,seconds
r0_baseline,11,15,1.0,0.6700000166893005,0.7250000238418579,0.9405330419540405,11,43.4
r0_baseline,22,15,1.0,0.7049999833106995,0.7200000286102295,0.9201935529708862,15,44.0
r0_baseline,33,15,1.0,0.6600000262260437,0.699999988079071,0.8954322934150696,12,45.0
r0_baseline,44,15,1.0,0.6600000262260437,0.7049999833106995,0.9969696998596191,14,45.4
r0_baseline,55,15,1.0,0.6899999976158142,0.7300000190734863,0.8432270884513855,11,49.4
r1_earlystop,11,15,1.0,0.6800000071525574,0.7250000238418579,0.9399446249008179,11,48.2
r1_earlystop,22,15,1.0,0.7099999785423279,0.7200000286102295,0.9235619902610779,15,49.1
r1_earlystop,33,15,1.0,0.6650000214576721,0.699999988079071,0.8961528539657593,12,49.8
r1_earlystop,44,15,1.0,0.675000011920929,0.675000011920929,0.9975060224533081,12,49.9
r1_earlystop,55,15,1.0,0.6850000023841858,0.7350000143051147,0.842925488948822,11,50.2
r2_batchnorm,11,15,0.6577777862548828,0.45500001311302185,0.45500001311302185,1.5304657220840454,14,53.0
r2_batchnorm,22,15,0.5899999737739563,0.4350000023841858,0.4350000023841858,1.5999561548233032,15,53.0
r2_batchnorm,33,15,0.7211111187934875,0.550000011920929,0.550000011920929,1.3772435188293457,15,52.5
r2_batchnorm,44,15,0.6511111259460449,0.5,0.550000011920929,1.4313496351242065,15,52.1
r2_batchnorm,55,15,0.6711111068725586,0.46000000834465027,0.46000000834465027,1.5130451917648315,15,58.2
r3_dropout30,11,15,1.0,0.6800000071525574,0.7149999737739563,1.00385320186615,13,44.8
r3_dropout30,22,15,1.0,0.6499999761581421,0.7350000143051147,0.9467551708221436,14,47.3
r3_dropout30,33,15,1.0,0.6700000166893005,0.6899999976158142,0.9224811792373657,12,48.1
r3_dropout30,44,15,1.0,0.7300000190734863,0.75,0.8759312629699707,12,48.5
r3_dropout30,55,15,1.0,0.699999988079071,0.7149999737739563,0.8280966281890869,14,47.2
r4_dropout50,11,15,1.0,0.6700000166893005,0.6850000023841858,1.0115516185760498,11,46.4
r4_dropout50,22,15,1.0,0.675000011920929,0.6899999976158142,0.9158729314804077,14,46.8
r4_dropout50,33,15,1.0,0.6949999928474426,0.7099999785423279,0.9023352861404419,11,46.9
r4_dropout50,44,15,1.0,0.7049999833106995,0.75,0.8549408912658691,14,45.9
r4_dropout50,55,15,1.0,0.6800000071525574,0.7200000286102295,0.8268225789070129,14,44.1
r5_dropout_preflat30,11,15,1.0,0.6800000071525574,0.699999988079071,1.0026319026947021,11,46.3
r5_dropout_preflat30,22,15,1.0,0.7149999737739563,0.7200000286102295,0.9564885497093201,15,45.3
r5_dropout_preflat30,33,15,1.0,0.6499999761581421,0.6850000023841858,0.9433743357658386,12,48.6
r5_dropout_preflat30,44,15,1.0,0.7300000190734863,0.7300000190734863,0.8938661813735962,12,48.5
r5_dropout_preflat30,55,15,1.0,0.6850000023841858,0.7350000143051147,0.8648082613945007,14,48.5
r6_dropout_preflat50,11,15,1.0,0.6850000023841858,0.7149999737739563,1.0070691108703613,11,48.2
r6_dropout_preflat50,22,15,1.0,0.7049999833106995,0.7200000286102295,0.9171031713485718,15,48.4
r6_dropout_preflat50,33,15,1.0,0.6549999713897705,0.7049999833106995,0.9265190958976746,15,48.7
r6_dropout_preflat50,44,15,1.0,0.7250000238418579,0.7250000238418579,0.8781892657279968,14,48.8
r6_dropout_preflat50,55,15,1.0,0.7049999833106995,0.7250000238418579,0.8553133606910706,13,48.7
