config,seed,params,final_train_acc,final_val_acc,best_val_acc,best_val_loss,best_epoch,seconds
v0_rgb_square,11,51434058,1.0,0.675000011920929,0.7250000238418579,0.939200222492218,11,44.3
v0_rgb_square,22,51434058,1.0,0.7099999785423279,0.7099999785423279,0.9224883317947388,15,43.8
v0_rgb_square,33,51434058,1.0,0.6650000214576721,0.699999988079071,0.8955506682395935,12,43.3
v0_rgb_square,44,51434058,1.0,0.6700000166893005,0.699999988079071,1.0190386772155762,12,43.6
v0_rgb_square,55,51434058,1.0,0.6800000071525574,0.7300000190734863,0.8420698642730713,11,43.4
v1_rgb_aspect,11,60609098,1.0,0.6899999976158142,0.7350000143051147,0.9533149600028992,11,50.0
v1_rgb_aspect,22,60609098,1.0,0.7149999737739563,0.7149999737739563,0.9274624586105347,11,50.5
v1_rgb_aspect,33,60609098,1.0,0.7200000286102295,0.7200000286102295,0.9125903844833374,12,56.6
v1_rgb_aspect,44,60609098,1.0,0.6600000262260437,0.699999988079071,0.9938137531280518,12,56.3
v1_rgb_aspect,55,60609098,1.0,0.6499999761581421,0.6850000023841858,0.8988258242607117,11,58.8
v2_gray_square,11,51433482,1.0,0.6449999809265137,0.6650000214576721,1.0059633255004883,9,45.0
v2_gray_square,22,51433482,1.0,0.6949999928474426,0.7400000095367432,0.8900396823883057,15,39.9
v2_gray_square,33,51433482,1.0,0.6700000166893005,0.699999988079071,0.9557795524597168,14,45.7
v2_gray_square,44,51433482,1.0,0.6349999904632568,0.6800000071525574,1.0445860624313354,12,44.1
v2_gray_square,55,51433482,1.0,0.6499999761581421,0.6850000023841858,0.9989302158355713,13,43.5
