accuracy,loss,val_accuracy,val_loss
0.10333333164453506,2.8029682636260986,0.10000000149011612,2.324239730834961
0.10444444417953491,2.3016817569732666,0.14499999582767487,2.2830514907836914
0.26777777075767517,2.0552196502685547,0.36000001430511475,1.8569974899291992
0.6644444465637207,1.1472402811050415,0.5149999856948853,1.3106286525726318
0.8844444155693054,0.5181888341903687,0.5649999976158142,1.1918591260910034
0.9733333587646484,0.24412019550800323,0.6349999904632568,1.0003752708435059
0.9811111092567444,0.1344500482082367,0.6549999713897705,0.9824128150939941
0.9944444298744202,0.09539482742547989,0.6299999952316284,0.9922547340393066
1.0,0.042083531618118286,0.6499999761581421,0.9082973003387451
1.0,0.029579125344753265,0.699999988079071,0.9206738471984863
1.0,0.022130567580461502,0.6650000214576721,0.9191575646400452
1.0,0.016462208703160286,0.699999988079071,0.8955506682395935
1.0,0.013740954920649529,0.6899999976158142,0.9645643830299377
1.0,0.011258017271757126,0.6899999976158142,0.9217784404754639
1.0,0.009678546339273453,0.6650000214576721,0.950858473777771
