set_name,word,total,detected,failed_frames,fills,status
set_18,fish,60,60,,,OK
set_18,hot,60,60,,,OK
set_18,jump,60,60,,,OK
set_18,milk,60,60,,,OK
set_18,pen,60,60,,,OK
set_18,red,60,60,,,OK
set_19,bat,60,60,,,OK
set_19,cup,60,60,,,OK
set_19,drop,60,60,,,OK
set_19,eat,60,60,,,OK
set_19,fish,60,60,,,OK
set_19,hot,60,60,,,OK
set_19,jump,60,60,,,OK
set_19,milk,60,60,,,OK
set_19,pen,60,60,,,OK
set_19,red,60,60,,,OK
set_20,bat,60,60,,,OK
set_20,cup,60,60,,,OK
set_20,drop,60,60,,,OK
set_20,eat,60,60,,,OK
set_20,fish,60,60,,,OK
set_20,hot,60,60,,,OK
set_20,jump,60,60,,,OK
set_20,milk,60,60,,,OK
set_20,pen,60,60,,,OK
set_20,red,60,60,,,OK
set_21,bat,60,60,,,OK
set_21,cup,60,60,,,OK
set_21,drop,60,60,,,OK
set_21,eat,60,60,,,OK
set_21,fish,60,60,,,OK
set_21,hot,60,60,,,OK
set_21,jump,60,60,,,OK
set_21,milk,60,60,,,OK
set_21,pen,60,60,,,OK
set_21,red,60,60,,,OK
set_22,bat,60,60,,,OK
set_22,cup,60,60,,,OK
set_22,drop,60,60,,,OK
set_22,eat,60,60,,,OK
set_22,fish,60,60,,,OK
set_22,hot,60,60,,,OK
set_22,jump,60,60,,,OK
set_22,milk,60,60,,,OK
set_22,pen,60,60,,,OK
set_22,red,60,60,,,OK
set_23,bat,60,60,,,OK
set_23,cup,60,60,,,OK
set_23,drop,60,60,,,OK
set_23,eat,60,60,,,OK
set_23,fish,60,60,,,OK
set_23,hot,60,60,,,OK
set_23,jump,60,60,,,OK
set_23,milk,60,60,,,OK
set_23,pen,60,60,,,OK
set_23,red,60,60,,,OK
set_24,bat,60,60,,,OK
set_24,cup,60,60,,,OK
set_24,drop,60,60,,,OK
set_24,eat,60,60,,,OK
set_24,fish,60,60,,,OK
set_24,hot,60,60,,,OK
set_24,jump,60,60,,,OK
set_24,milk,60,60,,,OK
set_24,pen,60,60,,,OK
set_24,red,60,60,,,OK
set_25,bat,60,60,,,OK
set_25,cup,60,60,,,OK
set_25,drop,60,60,,,OK
set_25,eat,60,60,,,OK
set_25,fish,60,60,,,OK
set_25,hot,60,60,,,OK
set_25,jump,60,60,,,OK
set_25,milk,60,60,,,OK
set_25,pen,60,60,,,OK
set_25,red,60,60,,,OK
set_26,bat,60,60,,,OK
set_26,cup,60,60,,,OK
set_26,drop,60,60,,,OK
set_26,eat,60,60,,,OK
set_26,fish,60,60,,,OK
set_26,hot,60,60,,,OK
set_26,jump,60,60,,,OK
set_26,milk,60,60,,,OK
set_26,pen,60,60,,,OK
set_26,red,60,60,,,OK
set_27,bat,60,60,,,OK
set_27,cup,60,60,,,OK
set_27,drop,60,60,,,OK
set_27,eat,60,60,,,OK
set_27,fish,60,60,,,OK
set_27,hot,60,60,,,OK
set_27,jump,60,60,,,OK
set_27,milk,60,60,,,OK
set_27,pen,60,60,,,OK
set_27,red,60,60,,,OK
set_28,bat,60,60,,,OK
set_28,cup,60,60,,,OK
set_28,drop,60,60,,,OK
set_28,eat,60,60,,,OK
set_28,fish,60,60,,,OK
set_28,hot,60,60,,,OK
set_28,jump,60,60,,,OK
set_28,milk,60,60,,,OK
set_28,pen,60,60,,,OK
set_28,red,60,60,,,OK
set_29,bat,60,60,,,OK
set_29,cup,60,60,,,OK
set_29,drop,60,60,,,OK
set_29,eat,60,60,,,OK
set_29,fish,60,60,,,OK
set_29,hot,60,60,,,OK
set_29,jump,60,60,,,OK
set_29,milk,60,60,,,OK
set_29,pen,60,60,,,OK
set_29,red,60,60,,,OK
set_30,bat,60,60,,,OK
set_30,cup,60,60,,,OK
set_30,drop,60,60,,,OK
set_30,eat,60,60,,,OK
set_30,fish,60,60,,,OK
set_30,hot,60,60,,,OK
set_30,jump,60,60,,,OK
set_30,milk,60,60,,,OK
set_30,pen,60,60,,,OK
set_30,red,60,60,,,OK
set_31,bat,60,60,,,OK
set_31,cup,60,60,,,OK
set_31,drop,60,60,,,OK
set_31,eat,60,60,,,OK
set_31,fish,60,60,,,OK
set_31,hot,60,60,,,OK
set_31,jump,60,60,,,OK
set_31,milk,60,60,,,OK
set_31,pen,60,60,,,OK
set_31,red,60,60,,,OK
set_32,bat,60,60,,,OK
set_32,cup,60,60,,,OK
set_32,drop,60,60,,,OK
set_32,eat,60,60,,,OK
set_32,fish,60,60,,,OK
set_32,hot,60,60,,,OK
set_32,jump,60,60,,,OK
set_32,milk,60,60,,,OK
set_32,pen,60,60,,,OK
set_32,red,60,60,,,OK
set_33,bat,60,60,,,OK
set_33,cup,60,60,,,OK
set_33,drop,60,60,,,OK
set_33,eat,60,60,,,OK
set_33,fish,60,60,,,OK
set_33,hot,60,60,,,OK
set_33,jump,60,60,,,OK
set_33,milk,60,60,,,OK
set_33,pen,60,60,,,OK
set_33,red,60,60,,,OK
set_34,bat,60,60,,,OK
set_34,cup,60,60,,,OK
set_34,drop,60,60,,,OK
set_34,eat,60,60,,,OK
set_34,fish,60,60,,,OK
set_34,hot,60,60,,,OK
set_34,jump,60,60,,,OK
set_34,milk,60,60,,,OK
set_34,pen,60,60,,,OK
set_34,red,60,60,,,OK
set_35,bat,60,60,,,OK
set_35,cup,60,60,,,OK
set_35,drop,60,60,,,OK
set_35,eat,60,60,,,OK
set_35,fish,60,60,,,OK
set_35,hot,60,60,,,OK
set_35,jump,60,60,,,OK
set_35,milk,60,60,,,OK
set_35,pen,60,60,,,OK
set_35,red,60,60,,,OK
set_36,bat,60,60,,,OK
set_36,cup,60,60,,,OK
set_36,drop,60,60,,,OK
set_36,eat,60,60,,,OK
set_36,fish,60,60,,,OK
set_36,hot,60,60,,,OK
set_36,jump,60,60,,,OK
set_36,milk,60,60,,,OK
set_36,pen,60,60,,,OK
set_36,red,60,60,,,OK
set_37,bat,60,60,,,OK
set_37,cup,60,60,,,OK
set_37,drop,60,60,,,OK
set_37,eat,60,60,,,OK
set_37,fish,60,60,,,OK
set_37,hot,60,60,,,OK
set_37,jump,60,60,,,OK
set_37,milk,60,60,,,OK
set_37,pen,60,60,,,OK
set_37,red,60,60,,,OK
set_38,bat,60,60,,,OK
set_38,cup,60,60,,,OK
set_38,drop,60,60,,,OK
set_38,eat,60,60,,,OK
set_38,fish,60,60,,,OK
set_38,hot,60,60,,,OK
set_38,jump,60,60,,,OK
set_38,milk,60,60,,,OK
set_38,pen,60,60,,,OK
set_38,red,60,60,,,OK
set_39,bat,60,60,,,OK
set_39,cup,60,60,,,OK
set_39,drop,60,60,,,OK
set_39,eat,60,60,,,OK
set_39,fish,60,60,,,OK
set_39,hot,60,60,,,OK
set_39,jump,60,60,,,OK
