filename,orig_w,orig_h,status
aug_train_06_pen.png,672,800,OK
aug_train_06_red.png,672,800,OK
aug_train_07_bat.png,672,800,OK
aug_train_07_cup.png,672,800,OK
aug_train_07_drop.png,672,800,OK
aug_train_07_eat.png,672,800,OK
aug_train_07_fish.png,672,800,OK
aug_train_07_hot.png,672,800,OK
aug_train_07_jump.png,672,800,OK
aug_train_07_milk.png,672,800,OK
aug_train_07_pen.png,672,800,OK
aug_train_07_red.png,672,800,OK
aug_train_08_bat.png,672,800,OK
aug_train_08_cup.png,672,800,OK
aug_train_08_drop.png,672,800,OK
aug_train_08_eat.png,672,800,OK
aug_train_08_fish.png,672,800,OK
aug_train_08_hot.png,672,800,OK
aug_train_08_jump.png,672,800,OK
aug_train_08_milk.png,672,800,OK
aug_train_08_pen.png,672,800,OK
aug_train_08_red.png,672,800,OK
aug_train_09_bat.png,672,800,OK
aug_train_09_cup.png,672,800,OK
aug_train_09_drop.png,672,800,OK
aug_train_09_eat.png,672,800,OK
aug_train_09_fish.png,672,800,OK
aug_train_09_hot.png,672,800,OK
aug_train_09_jump.png,672,800,OK
aug_train_09_milk.png,672,800,OK
aug_train_09_pen.png,672,800,OK
aug_train_09_red.png,672,800,OK
aug_train_10_bat.png,672,800,OK
aug_train_10_cup.png,672,800,OK
aug_train_10_drop.png,672,800,OK
aug_train_10_eat.png,672,800,OK
aug_train_10_fish.png,672,800,OK
aug_train_10_hot.png,672,800,OK
aug_train_10_jump.png,672,800,OK
aug_train_10_milk.png,672,800,OK
aug_train_10_pen.png,672,800,OK
aug_train_10_red.png,672,800,OK
aug_train_11_bat.png,672,800,OK
aug_train_11_cup.png,672,800,OK
aug_train_11_drop.png,672,800,OK
aug_train_11_eat.png,672,800,OK
aug_train_11_fish.png,672,800,OK
aug_train_11_hot.png,672,800,OK
aug_train_11_jump.png,672,800,OK
aug_train_11_milk.png,672,800,OK
aug_train_11_pen.png,672,800,OK
aug_train_11_red.png,672,800,OK
aug_train_12_bat.png,672,800,OK
aug_train_12_cup.png,672,800,OK
aug_train_12_drop.png,672,800,OK
aug_train_12_eat.png,672,800,OK
aug_train_12_fish.png,672,800,OK
aug_train_12_hot.png,672,800,OK
aug_train_12_jump.png,672,800,OK
aug_train_12_milk.png,672,800,OK
aug_train_12_pen.png,672,800,OK
aug_train_12_red.png,672,800,OK
aug_train_13_bat.png,672,800,OK
aug_train_13_cup.png,672,800,OK
aug_train_13_drop.png,672,800,OK
aug_train_13_eat.png,672,800,OK
